SI_ID;Date;Starttime;Endtime;Gear;Gear_Multiplier;Sampler_ID;Depth;Boat_Shore;Waterbody;Capture_Latitude;Capture_Longitude;Release_Latitude;Release_Longitude;GPSpoint1;GPSpoint2;Temperature_C;TempSampleTime;Salinity_PSU;Conductivity_myS_cm;Oxygenlevel_perc;Oxygenlevel_mgL;Visibility_cm;Vegetation;Notes;Lure_Type;Lure_Length;GSPdevice;NetHours;Site;Bites;Follower;Lure_Color;Wind;pH;Transect_Length_m;Schongebietsvergleich;Paired_Design;Comparison_Area_Name;Captured_Pike_No;EnterDate;Lure_Length_mm;Lure_ID;Zone;GPS_Track;Net_ID;Safe_Bites
289;2019-11-03;09:00:00;16:00:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
290;2019-11-04;09:00:00;16:00:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
291;2019-11-05;09:00:00;16:00:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
292;2019-11-07;09:15:00;NA;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
293;2019-11-08;09:00:00;15:30:00;A;4;14;SS;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;SPO;SG;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
294;2019-11-09;08:45:00;16:00:00;A;4;14;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
295;2019-11-10;09:00:00;16:00:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;C;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
296;2019-11-12;08:30:00;13:15:00;A;4;14;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
297;2019-11-12;13:15:00;16:00:00;A;4;14;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
298;2019-11-13;08:30:00;16:00:00;A;4;14;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;C;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
299;2019-11-14;09:00:00;15:30:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;C;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
300;2019-11-15;08:30:00;16:00:00;A;4;14;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
301;2019-11-16;08:30:00;15:45:00;A;4;14;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;J;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
302;2019-11-21;09:00:00;15:45:00;A;3;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;G;L;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
303;2019-11-22;09:00:00;16:00:00;A;4;14;S;Boat;WB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;L;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
304;2019-11-23;09:00:00;15:45:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;L;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;2019-11-24;09:00:00;15:00:00;A;4;14;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;C;L;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;2019-10-25;09:00:00;17:00:00;A;5;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;5;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;2019-10-26;08:00:00;10:00:00;A;5;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;5;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;2019-10-29;08:00:00;13:00:00;A;4;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;2019-10-29;13:00:00;17:00:00;A;4;39;S;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;2019-10-31;08:40:00;15:40:00;A;4;39;M;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;2019-11-01;10:40:00;15:40:00;A;4;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;2019-11-02;08:40:00;15:40:00;A;4;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;2019-11-03;09:00:00;15:40:00;A;4;39;M;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;2019-11-08;09:00:00;15:30:00;A;4;39;NA;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;2019-11-09;09:00:00;15:30:00;A;4;39;NA;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;2019-11-10;09:00:00;15:30:00;A;4;39;NA;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
317;2019-11-11;09:00:00;15:30:00;A;4;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
318;2019-11-12;09:00:00;15:30:00;A;4;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
319;2019-11-14;09:00:00;11:00:00;A;4;39;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
320;2019-11-14;11:00:00;15:30:00;A;4;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
321;2019-11-15;08:30:00;NA;A;3;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
322;2019-11-16;08:30:00;15:30:00;A;3;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
323;2019-11-17;09:00:00;15:30:00;A;3;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
324;2019-11-18;09:00:00;15:30:00;A;4;39;S;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
325;2019-11-19;08:30:00;NA;A;4;39;S;Boat;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
326;2019-12-11;08:13:00;09:05:00;A;1;46;S;Shore;GB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;1;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
327;2019-09-03;08:00:00;17:00:00;A;3;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
328;2019-09-04;08:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
329;2019-09-07;08:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
330;2019-09-08;08:00:00;15:30:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
331;2019-09-08;15:30:00;17:00:00;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
332;2019-09-13;08:00:00;17:00:00;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
333;2019-09-14;08:00:00;17:00:00;A;4;39;M;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
334;2019-09-19;08:00:00;17:00:00;A;4;39;M;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
335;2019-09-20;08:00:00;17:00:00;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
336;2019-09-21;08:00:00;17:00:00;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
337;2019-09-22;08:00:00;16:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
338;2019-09-23;08:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
339;2019-09-25;14:00:00;17:00:00;A;3;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
340;2019-09-26;08:00:00;17:00:00;A;3;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
341;2019-09-27;08:30:00;NA;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
342;2019-09-28;08:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
343;2019-09-29;08:00:00;16:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
344;2019-10-07;08:00:00;17:00:00;A;2;39;S;Boat;WB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;2;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
345;2019-10-10;08:00:00;17:00:00;A;4;39;M;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
346;2019-10-11;08:00:00;17:00:00;A;4;39;M;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
347;2019-10-12;08:00:00;17:00:00;A;4;39;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
348;2019-10-13;08:00:00;16:00:00;A;3;39;M;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
349;2019-10-14;08:00:00;17:00:00;A;4;39;M;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
350;2019-10-15;08:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
351;2019-10-20;08:00:00;17:00:00;A;4;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
352;2019-10-21;08:00:00;17:00:00;A;4;39;S;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
353;2019-10-22;08:00:00;16:00:00;A;4;39;M;Boat;GJB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
354;2019-10-23;08:00:00;11:00:00;A;4;39;M;Boat;SB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
355;2019-10-23;11:00:00;17:00:00;A;4;39;S;Boat;KB;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
356;2019-10-24;08:00:00;17:00:00;A;5;39;M;Boat;BEG;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;5;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
357;2019-10-31;13:07:00;13:35:00;E;NA;1;S;Boat;Barthe;NA;NA;54.311575;12.704307;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
358;2020-03-03;NA;NA;R;1;45;S;Boat;S;NA;NA;54.365617;13.114933;NA;NA;4.7;10:37:00;7.9;14170;102.3;13.01;NA;0;1;NA;NA;NA;48,00;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
359;2020-03-02;NA;NA;R;NA;20;NA;Boat;P;NA;NA;NA;NA;NA;NA;4.4;10:14:00;2.6;5020;101.6;12.91;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
360;2020-03-02;08:30:00;11:40:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
361;2020-03-02;08:30:00;11:40:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
362;2020-03-02;08:30:00;11:40:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;F;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
363;2020-03-02;12:00:00;17:00:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
364;2020-03-02;12:00:00;17:00:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
365;2020-03-02;12:00:00;17:00:00;A;1;46;S;Shore;SB;NA;NA;NA;NA;1;NA;4;08:30:00;10.1;17780;98.2;12.45;NA;0;1;F;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
366;2020-03-04;13:15:00;14:30:00;A;2;1;S;NA;WB;NA;NA;54.60977;13.27809;3;NA;5.6;14:30:00;9.9;17490;103.4;12.94;NA;0;2;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
367;2020-03-04;13:15:00;14:30:00;A;1;1;S;NA;WB;NA;NA;54.60977;13.27809;3;NA;5.6;14:30:00;9.9;17490;103.4;12.94;NA;0;1;F;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
368;2020-03-04;13:15:00;14:30:00;A;1;1;S;NA;WB;NA;NA;54.60977;13.27809;3;NA;5.6;14:30:00;9.9;17490;103.4;12.94;NA;0;1;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
369;2020-03-04;09:30:00;11:00:00;A;1;1;S;NA;BEG;NA;NA;54.61224;13.37287;2;NA;4.8;12:00:00;8.9;15740;108.1;13.84;NA;0;1;W;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
370;2020-03-04;09:30:00;13:00:00;A;1;1;S;NA;BEG;NA;NA;54.61224;13.37287;2;NA;4.8;12:00:00;8.9;15740;108.1;13.84;NA;0;1;F;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
371;2020-03-04;09:30:00;11:00:00;A;2;1;S;NA;BEG;NA;NA;54.61224;13.37287;2;NA;4.8;12:00:00;8.9;15740;108.1;13.84;NA;0;2;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
372;2020-03-04;15:15:00;15:45:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
373;2020-03-04;15:15:00;15:45:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
374;2020-03-04;15:15:00;17:30:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;F;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
375;2020-03-04;15:15:00;17:30:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;W;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
376;2020-03-04;16:30:00;17:30:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
377;2020-03-04;16:30:00;17:30:00;A;1;1;S;Shore;WB;NA;NA;54.61461;13.22779;4;NA;5.8;16:11:00;10.3;17980;133.9;16.75;NA;0;1;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
378;2020-03-05;NA;NA;S;8;47;S;Boat;GB;54.17592;13.42143;54.289983;13.704633;8;NA;4.9;09:33:00;7.9;14210;92.4;11.6;NA;0;8;NA;NA;NA;336,00;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
379;2020-03-04;NA;NA;R;0.7;20;T;Boat;P;NA;NA;NA;NA;NA;NA;4.6;NA;2.9;5530;109.7;14.06;NA;0;0.7;NA;NA;NA;144,00;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
380;2020-03-09;NA;NA;R;1;48;S;Boat;BEG;NA;NA;54.54338;13.37395;10;NA;5.3;09:30:00;7.9;14090;101.1;12.73;NA;0;1;NA;NA;NA;144,00;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
381;2020-03-10;NA;NA;R;1;48;S;Boat;BEG;NA;NA;54.54338;13.37395;10;NA;5.4;10:45:00;8.3;14800;105.5;13.23;NA;0;1;NA;NA;NA;24,00;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
382;2020-03-06;10:00:00;12:30:00;A;2;1;S;Boat;GJB;NA;NA;54.55635;13.4896;8;NA;4.9;10:00:00;6.8;12320;99.4;12.51;NA;0;2;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
